category,text_a,text_b,cosine_similarity,collision
cross_collision,Jinmyōchō,kugyō,1.000000,YES
cross_collision,Hokkaidō,Shōtai,1.000000,YES
cross_collision,Djazaïr,Éire,1.000000,YES
cross_collision,Hokkaidō,Jinmyōchō,1.000000,YES
cross_collision,Shōtoku,Jinmyōchō,1.000000,YES
cross_collision,Hokkaidō,Éire,1.000000,YES
cross_collision,kugyō,Djazaïr,1.000000,YES
cross_collision,Shōtoku,România,1.000000,YES
cross_collision,Filasṭīn,Jinmyōchō,1.000000,YES
cross_collision,Filasṭīn,Éire,1.000000,YES
cross_collision,Aikanã,kugyō,1.000000,YES
cross_collision,naïve,Zürich,1.000000,YES
control,Tokyo,Berlin,0.750977,no
control,cat,democracy,0.540020,no
diacritic_vs_plain,Tōkyō,Tokyo,0.500535,no
diacritic_vs_plain,România,Romania,0.492964,no
diacritic_vs_plain,Éire,Eire,0.475223,no
diacritic_vs_plain,kugyō,kugyo,0.474725,no
diacritic_vs_plain,Shōtoku,Shotoku,0.461514,no
diacritic_vs_plain,Hokkaidō,Hokkaido,0.449709,no
control,emperor,bicycle,0.438969,no
control,shrine,economics,0.433395,no
control,Hokkaido,quantum physics,0.424341,no
diacritic_vs_plain,Jinmyōchō,Jinmyocho,0.415295,no
